"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Japan","2012","Female","43",""
"Japan","2012","Both sexes","63",""
"Japan","2000","Male","98",""
"Japan","2000","Female","48",""
"Japan","2000","Both sexes","73",""
"Japan","1990","Male","109",""
"Japan","1990","Female","53",""
"Japan","1990","Both sexes","81",""
"Jordan","2012","Male","132",""
"Jordan","2012","Female","97",""
"Jordan","2012","Both sexes","115",""
"Jordan","2000","Male","151",""
"Jordan","2000","Female","116",""
"Jordan","2000","Both sexes","134",""
"Jordan","1990","Male","175",""
"Jordan","1990","Female","135",""
"Jordan","1990","Both sexes","156",""
"Kazakhstan","2012","Male","324",""
"Kazakhstan","2012","Female","147",""
"Kazakhstan","2012","Both sexes","235",""
"Kazakhstan","2000","Male","422",""
"Kazakhstan","2000","Female","194",""
"Kazakhstan","2000","Both sexes","309",""
"Kazakhstan","1990","Male","318",""
"Kazakhstan","1990","Female","150",""
"Kazakhstan","1990","Both sexes","235",""
"Kenya","2012","Male","307",""
"Kenya","2012","Female","261",""
"Kenya","2012","Both sexes","284",""
"Kenya","2000","Male","458",""
"Kenya","2000","Female","419",""
"Kenya","2000","Both sexes","438",""
"Kenya","1990","Male","287",""
"Kenya","1990","Female","228",""
"Kenya","1990","Both sexes","258",""
"Kiribati","2012","Male","210",""
"Kiribati","2012","Female","138",""
"Kiribati","2012","Both sexes","176",""
"Kiribati","2000","Male","255",""
"Kiribati","2000","Female","180",""
"Kiribati","2000","Both sexes","219",""
"Kiribati","1990","Male","299",""
"Kiribati","1990","Female","222",""
"Kiribati","1990","Both sexes","264",""
"Kuwait","2012","Male","59",""
"Kuwait","2012","Female","43",""
"Kuwait","2012","Both sexes","53",""
"Kuwait","2000","Male","86",""
"Kuwait","2000","Female","63",""
"Kuwait","2000","Both sexes","77",""
"Kuwait","1990","Male","128",""
"Kuwait","1990","Female","81",""
"Kuwait","1990","Both sexes","108",""
"Kyrgyzstan","2012","Male","275",""
"Kyrgyzstan","2012","Female","131",""
"Kyrgyzstan","2012","Both sexes","203",""
"Kyrgyzstan","2000","Male","317",""
"Kyrgyzstan","2000","Female","164",""
"Kyrgyzstan","2000","Both sexes","242",""
"Kyrgyzstan","1990","Male","291",""
"Kyrgyzstan","1990","Female","156",""
"Kyrgyzstan","1990","Both sexes","224",""
"Lao People's Democratic Republic","2012","Male","202",""
"Lao People's Democratic Republic","2012","Female","163",""
"Lao People's Democratic Republic","2012","Both sexes","182",""
"Lao People's Democratic Republic","2000","Male","273",""
"Lao People's Democratic Republic","2000","Female","230",""
"Lao People's Democratic Republic","2000","Both sexes","250",""
"Lao People's Democratic Republic","1990","Male","358",""
"Lao People's Democratic Republic","1990","Female","309",""
"Lao People's Democratic Republic","1990","Both sexes","333",""
"Latvia","2012","Male","226",""
"Latvia","2012","Female","86",""
"Latvia","2012","Both sexes","154",""
"Latvia","2000","Male","321",""
"Latvia","2000","Female","117",""
"Latvia","2000","Both sexes","218",""
"Latvia","1990","Male","311",""
"Latvia","1990","Female","118",""
"Latvia","1990","Both sexes","215",""
"Lebanon","2012","Male","72",""
"Lebanon","2012","Female","47",""
"Lebanon","2012","Both sexes","61",""
"Lebanon","2000","Male","124",""
"Lebanon","2000","Female","91",""
"Lebanon","2000","Both sexes","107",""
"Lebanon","1990","Male","280",""
"Lebanon","1990","Female","150",""
"Lebanon","1990","Both sexes","214",""
"Lesotho","2012","Male","560",""
"Lesotho","2012","Female","503",""
"Lesotho","2012","Both sexes","528",""
"Lesotho","2000","Male","592",""
"Lesotho","2000","Female","561",""
"Lesotho","2000","Both sexes","574",""
"Lesotho","1990","Male","297",""
"Lesotho","1990","Female","247",""
"Lesotho","1990","Both sexes","270",""
"Liberia","2012","Male","282",""
"Liberia","2012","Female","246",""
"Liberia","2012","Both sexes","263",""
"Liberia","2000","Male","375",""
"Liberia","2000","Female","336",""
"Liberia","2000","Both sexes","355",""
"Liberia","1990","Male","544",""
"Liberia","1990","Female","376",""
"Liberia","1990","Both sexes","465",""
"Libya","2012","Male","119",""
"Libya","2012","Female","81",""
"Libya","2012","Both sexes","101",""
"Libya","2000","Male","153",""
"Libya","2000","Female","111",""
"Libya","2000","Both sexes","134",""
"Libya","1990","Male","194",""
"Libya","1990","Female","142",""
"Libya","1990","Both sexes","171",""
"Lithuania","2012","Male","266",""
"Lithuania","2012","Female","93",""
"Lithuania","2012","Both sexes","179",""
"Lithuania","2000","Male","293",""
"Lithuania","2000","Female","103",""
"Lithuania","2000","Both sexes","198",""
"Lithuania","1990","Male","288",""
"Lithuania","1990","Female","107",""
"Lithuania","1990","Both sexes","196",""
"Luxembourg","2012","Male","81",""
"Luxembourg","2012","Female","51",""
"Luxembourg","2012","Both sexes","66",""
"Luxembourg","2000","Male","121",""
"Luxembourg","2000","Female","67",""
"Luxembourg","2000","Both sexes","95",""
"Luxembourg","1990","Male","160",""
"Luxembourg","1990","Female","79",""
"Luxembourg","1990","Both sexes","121",""
"Madagascar","2012","Male","263",""
"Madagascar","2012","Female","213",""
"Madagascar","2012","Both sexes","238",""
"Madagascar","2000","Male","302",""
"Madagascar","2000","Female","268",""
"Madagascar","2000","Both sexes","284",""
"Madagascar","1990","Male","370",""
"Madagascar","1990","Female","320",""
"Madagascar","1990","Both sexes","345",""
"Malawi","2012","Male","376",""
"Malawi","2012","Female","330",""
"Malawi","2012","Both sexes","352",""
"Malawi","2000","Male","584",""
"Malawi","2000","Female","605",""
"Malawi","2000","Both sexes","595",""
"Malawi","1990","Male","467",""
"Malawi","1990","Female","407",""
"Malawi","1990","Both sexes","436",""
"Malaysia","2012","Male","172",""
"Malaysia","2012","Female","89",""
"Malaysia","2012","Both sexes","130",""
"Malaysia","2000","Male","198",""
"Malaysia","2000","Female","112",""
"Malaysia","2000","Both sexes","157",""
"Malaysia","1990","Male","209",""
"Malaysia","1990","Female","129",""
"Malaysia","1990","Both sexes","170",""
"Maldives","2012","Male","91",""
"Maldives","2012","Female","59",""
"Maldives","2012","Both sexes","75",""
"Maldives","2000","Male","183",""
"Maldives","2000","Female","164",""
"Maldives","2000","Both sexes","173",""
"Maldives","1990","Male","259",""
"Maldives","1990","Female","327",""
"Maldives","1990","Both sexes","291",""
"Mali","2012","Male","282",""
"Mali","2012","Female","277",""
"Mali","2012","Both sexes","278",""
"Mali","2000","Male","364",""
"Mali","2000","Female","361",""
"Mali","2000","Both sexes","361",""
"Mali","1990","Male","348",""
"Mali","1990","Female","340",""
"Mali","1990","Both sexes","343",""
"Malta","2012","Male","77",""
"Malta","2012","Female","45",""
"Malta","2012","Both sexes","61",""
"Malta","2000","Male","88",""
"Malta","2000","Female","53",""
"Malta","2000","Both sexes","71",""
"Malta","1990","Male","108",""
"Malta","1990","Female","62",""
"Malta","1990","Both sexes","84",""
"Marshall Islands","2012","Male","155",""
"Marshall Islands","2012","Female","106",""
"Marshall Islands","2012","Both sexes","132",""
"Marshall Islands","2000","Male","211",""
"Marshall Islands","2000","Female","160",""
"Marshall Islands","2000","Both sexes","187",""
"Marshall Islands","1990","Male","268",""
"Marshall Islands","1990","Female","217",""
"Marshall Islands","1990","Both sexes","244",""
"Mauritania","2012","Male","235",""
"Mauritania","2012","Female","188",""
"Mauritania","2012","Both sexes","212",""
"Mauritania","2000","Male","257",""
"Mauritania","2000","Female","207",""
"Mauritania","2000","Both sexes","230",""
"Mauritania","1990","Male","270",""
"Mauritania","1990","Female","223",""
"Mauritania","1990","Both sexes","245",""
"Mauritius","2012","Male","204",""
"Mauritius","2012","Female","96",""
"Mauritius","2012","Both sexes","152",""
"Mauritius","2000","Male","222",""
"Mauritius","2000","Female","121",""
"Mauritius","2000","Both sexes","172",""
"Mauritius","1990","Male","264",""
"Mauritius","1990","Female","121",""
"Mauritius","1990","Both sexes","193",""
"Mexico","2012","Male","177",""
"Mexico","2012","Female","90",""
"Mexico","2012","Both sexes","132",""
"Mexico","2000","Male","177",""
"Mexico","2000","Female","100",""
"Mexico","2000","Both sexes","137",""
"Mexico","1990","Male","215",""
"Mexico","1990","Female","120",""
"Mexico","1990","Both sexes","168",""
"Micronesia (Federated States of)","2012","Male","182",""
"Micronesia (Federated States of)","2012","Female","155",""
"Micronesia (Federated States of)","2012","Both sexes","169",""
"Micronesia (Federated States of)","2000","Male","197",""
"Micronesia (Federated States of)","2000","Female","175",""
"Micronesia (Federated States of)","2000","Both sexes","186",""
"Micronesia (Federated States of)","1990","Male","210",""
"Micronesia (Federated States of)","1990","Female","187",""
"Micronesia (Federated States of)","1990","Both sexes","198",""
"Monaco","2012","Male","107",""
"Monaco","2012","Female","49",""
"Monaco","2012","Both sexes","78",""
"Monaco","2000","Male","136",""
"Monaco","2000","Female","61",""
"Monaco","2000","Both sexes","99",""
"Monaco","1990","Male","155",""
"Monaco","1990","Female","67",""
"Monaco","1990","Both sexes","112",""
"Mongolia","2012","Male","314",""
"Mongolia","2012","Female","150",""
"Mongolia","2012","Both sexes","233",""
"Mongolia","2000","Male","325",""
"Mongolia","2000","Female","218",""
"Mongolia","2000","Both sexes","273",""
"Mongolia","1990","Male","269",""
"Mongolia","1990","Female","183",""
"Mongolia","1990","Both sexes","226",""
"Montenegro","2012","Male","152",""
"Montenegro","2012","Female","80",""
"Montenegro","2012","Both sexes","117",""
"Montenegro","2000","Male","179",""
"Montenegro","2000","Female","98",""
"Montenegro","2000","Both sexes","138",""
"Montenegro","1990","Male","165",""
"Montenegro","1990","Female","73",""
"Montenegro","1990","Both sexes","119",""
"Morocco","2012","Male","172",""
"Morocco","2012","Female","124",""
"Morocco","2012","Both sexes","148",""
"Morocco","2000","Male","192",""
"Morocco","2000","Female","145",""
"Morocco","2000","Both sexes","167",""
"Morocco","1990","Male","224",""
"Morocco","1990","Female","172",""
"Morocco","1990","Both sexes","197",""
"Mozambique","2012","Male","466",""
"Mozambique","2012","Female","453",""
"Mozambique","2012","Both sexes","459",""
"Mozambique","2000","Male","483",""
"Mozambique","2000","Female","438",""
"Mozambique","2000","Both sexes","459",""
"Mozambique","1990","Male","459",""
"Mozambique","1990","Female","384",""
"Mozambique","1990","Both sexes","419",""
"Myanmar","2012","Male","242",""
"Myanmar","2012","Female","184",""
"Myanmar","2012","Both sexes","212",""
"Myanmar","2000","Male","276",""
"Myanmar","2000","Female","215",""
"Myanmar","2000","Both sexes","245",""
"Myanmar","1990","Male","316",""
"Myanmar","1990","Female","248",""
"Myanmar","1990","Both sexes","281",""
"Namibia","2012","Male","293",""
"Namibia","2012","Female","204",""
"Namibia","2012","Both sexes","246",""
"Namibia","2000","Male","411",""
"Namibia","2000","Female","418",""
"Namibia","2000","Both sexes","414",""
"Namibia","1990","Male","268",""
"Namibia","1990","Female","230",""
"Namibia","1990","Both sexes","248",""
"Nauru","2012","Male","90",""
"Nauru","2012","Female","45",""
"Nauru","2012","Both sexes","69",""
"Nauru","2000","Male","114",""
"Nauru","2000","Female","56",""
"Nauru","2000","Both sexes","86",""
"Nauru","1990","Male","154",""
"Nauru","1990","Female","78",""
"Nauru","1990","Both sexes","119",""
"Nepal","2012","Male","197",""
"Nepal","2012","Female","164",""
"Nepal","2012","Both sexes","180",""
"Nepal","2000","Male","264",""
"Nepal","2000","Female","229",""
"Nepal","2000","Both sexes","246",""
"Nepal","1990","Male","340",""
"Nepal","1990","Female","308",""
"Nepal","1990","Both sexes","324",""
"Netherlands","2012","Male","72",""
"Netherlands","2012","Female","54",""
"Netherlands","2012","Both sexes","63",""
"Netherlands","2000","Male","100",""
"Netherlands","2000","Female","67",""
"Netherlands","2000","Both sexes","84",""
"Netherlands","1990","Male","116",""
"Netherlands","1990","Female","67",""
"Netherlands","1990","Both sexes","92",""
"New Zealand","2012","Male","81",""
"New Zealand","2012","Female","53",""
"New Zealand","2012","Both sexes","67",""
"New Zealand","2000","Male","105",""
"New Zealand","2000","Female","67",""
"New Zealand","2000","Both sexes","86",""
"New Zealand","1990","Male","143",""
"New Zealand","1990","Female","93",""
"New Zealand","1990","Both sexes","118",""
"Nicaragua","2012","Male","204",""
"Nicaragua","2012","Female","118",""
"Nicaragua","2012","Both sexes","160",""
"Nicaragua","2000","Male","191",""
"Nicaragua","2000","Female","121",""
"Nicaragua","2000","Both sexes","156",""
"Nicaragua","1990","Male","171",""
"Nicaragua","1990","Female","122",""
"Nicaragua","1990","Both sexes","147",""
"Niger","2012","Male","257",""
"Niger","2012","Female","246",""
"Niger","2012","Both sexes","253",""
"Niger","2000","Male","288",""
"Niger","2000","Female","280",""
"Niger","2000","Both sexes","284",""
"Niger","1990","Male","317",""
"Niger","1990","Female","295",""
"Niger","1990","Both sexes","305",""
"Nigeria","2012","Male","371",""
"Nigeria","2012","Female","346",""
"Nigeria","2012","Both sexes","358",""
"Nigeria","2000","Male","414",""
"Nigeria","2000","Female","385",""
"Nigeria","2000","Both sexes","400",""
"Nigeria","1990","Male","408",""
"Nigeria","1990","Female","364",""
"Nigeria","1990","Both sexes","386",""
"Niue","2012","Male","166",""
"Niue","2012","Female","85",""
"Niue","2012","Both sexes","127",""
"Niue","2000","Male","195",""
"Niue","2000","Female","103",""
"Niue","2000","Both sexes","151",""
"Niue","1990","Male","222",""
"Niue","1990","Female","124",""
"Niue","1990","Both sexes","176",""
"Norway","2012","Male","73",""
"Norway","2012","Female","44",""
"Norway","2012","Both sexes","59",""
"Norway","2000","Male","107",""
"Norway","2000","Female","61",""
"Norway","2000","Both sexes","85",""
"Norway","1990","Male","128",""
"Norway","1990","Female","65",""
"Norway","1990","Both sexes","97",""
"Oman","2012","Male","119",""
"Oman","2012","Female","74",""
"Oman","2012","Both sexes","102",""
"Oman","2000","Male","162",""
"Oman","2000","Female","106",""
"Oman","2000","Both sexes","140",""
"Oman","1990","Male","215",""
"Oman","1990","Female","151",""
"Oman","1990","Both sexes","189",""
"Pakistan","2012","Male","190",""
"Pakistan","2012","Female","157",""
"Pakistan","2012","Both sexes","174",""
"Pakistan","2000","Male","204",""
"Pakistan","2000","Female","176",""
"Pakistan","2000","Both sexes","190",""
"Pakistan","1990","Male","220",""
"Pakistan","1990","Female","197",""
"Pakistan","1990","Both sexes","209",""
"Palau","2012","Male","159",""
"Palau","2012","Female","109",""
"Palau","2012","Both sexes","135",""
"Palau","2000","Male","211",""
"Palau","2000","Female","160",""
"Palau","2000","Both sexes","186",""
"Palau","1990","Male","268",""
"Palau","1990","Female","217",""
"Palau","1990","Both sexes","244",""
"Panama","2012","Male","152",""
"Panama","2012","Female","83",""
"Panama","2012","Both sexes","118",""
"Panama","2000","Male","137",""
"Panama","2000","Female","83",""
"Panama","2000","Both sexes","110",""
"Panama","1990","Male","146",""
"Panama","1990","Female","101",""
"Panama","1990","Both sexes","124",""
"Papua New Guinea","2012","Male","321",""
"Papua New Guinea","2012","Female","245",""
"Papua New Guinea","2012","Both sexes","283",""
"Papua New Guinea","2000","Male","379",""
"Papua New Guinea","2000","Female","296",""
"Papua New Guinea","2000","Both sexes","339",""
"Papua New Guinea","1990","Male","437",""
"Papua New Guinea","1990","Female","333",""
"Papua New Guinea","1990","Both sexes","389",""
"Paraguay","2012","Male","178",""
"Paraguay","2012","Female","97",""
"Paraguay","2012","Both sexes","139",""
"Paraguay","2000","Male","158",""
"Paraguay","2000","Female","103",""
"Paraguay","2000","Both sexes","132",""
"Paraguay","1990","Male","138",""
"Paraguay","1990","Female","99",""
"Paraguay","1990","Both sexes","119",""
"Peru","2012","Male","118",""
"Peru","2012","Female","91",""
"Peru","2012","Both sexes","105",""
"Peru","2000","Male","161",""
"Peru","2000","Female","119",""
"Peru","2000","Both sexes","140",""
"Peru","1990","Male","163",""
"Peru","1990","Female","123",""
"Peru","1990","Both sexes","143",""
"Philippines","2012","Male","258",""
"Philippines","2012","Female","138",""
"Philippines","2012","Both sexes","199",""
"Philippines","2000","Male","243",""
"Philippines","2000","Female","134",""
"Philippines","2000","Both sexes","189",""
"Philippines","1990","Male","272",""
"Philippines","1990","Female","154",""
"Philippines","1990","Both sexes","215",""
"Poland","2012","Male","180",""
"Poland","2012","Female","69",""
"Poland","2012","Both sexes","125",""
"Poland","2000","Male","216",""
"Poland","2000","Female","86",""
"Poland","2000","Both sexes","152",""
"Poland","1990","Male","263",""
"Poland","1990","Female","102",""
"Poland","1990","Both sexes","184",""
"Portugal","2012","Male","114",""
"Portugal","2012","Female","49",""
"Portugal","2012","Both sexes","81",""
"Portugal","2000","Male","155",""
"Portugal","2000","Female","66",""
"Portugal","2000","Both sexes","111",""
"Portugal","1990","Male","176",""
"Portugal","1990","Female","80",""
"Portugal","1990","Both sexes","127",""
"Qatar","2012","Male","73",""
"Qatar","2012","Female","51",""
"Qatar","2012","Both sexes","68",""
"Qatar","2000","Male","86",""
"Qatar","2000","Female","79",""
"Qatar","2000","Both sexes","83",""
"Qatar","1990","Male","94",""
"Qatar","1990","Female","82",""
"Qatar","1990","Both sexes","90",""
"Republic of Korea","2012","Male","98",""
"Republic of Korea","2012","Female","40",""
"Republic of Korea","2012","Both sexes","69",""
"Republic of Korea","2000","Male","163",""
"Republic of Korea","2000","Female","62",""
"Republic of Korea","2000","Both sexes","114",""
"Republic of Korea","1990","Male","237",""
"Republic of Korea","1990","Female","102",""
"Republic of Korea","1990","Both sexes","171",""
"Republic of Moldova","2012","Male","269",""
"Republic of Moldova","2012","Female","110",""
"Republic of Moldova","2012","Both sexes","189",""
"Republic of Moldova","2000","Male","311",""
"Republic of Moldova","2000","Female","155",""
"Republic of Moldova","2000","Both sexes","232",""
"Republic of Moldova","1990","Male","285",""
"Republic of Moldova","1990","Female","155",""
"Republic of Moldova","1990","Both sexes","218",""
"Romania","2012","Male","207",""
"Romania","2012","Female","82",""
"Romania","2012","Both sexes","145",""
"Romania","2000","Male","237",""
"Romania","2000","Female","106",""
"Romania","2000","Both sexes","173",""
"Romania","1990","Male","239",""
"Romania","1990","Female","114",""
"Romania","1990","Both sexes","178",""
"Russian Federation","2012","Male","339",""
"Russian Federation","2012","Female","127",""
"Russian Federation","2012","Both sexes","233",""
"Russian Federation","2000","Male","449",""
"Russian Federation","2000","Female","161",""
"Russian Federation","2000","Both sexes","312",""
"Russian Federation","1990","Male","318",""
"Russian Federation","1990","Female","117",""
"Russian Federation","1990","Both sexes","218",""
"Rwanda","2012","Male","253",""
"Rwanda","2012","Female","212",""
"Rwanda","2012","Both sexes","231",""
"Rwanda","2000","Male","480",""
"Rwanda","2000","Female","466",""
"Rwanda","2000","Both sexes","472",""
"Rwanda","1990","Male","487",""
"Rwanda","1990","Female","406",""
"Rwanda","1990","Both sexes","447",""
"Saint Kitts and Nevis","2012","Male","166",""
"Saint Kitts and Nevis","2012","Female","80",""
"Saint Kitts and Nevis","2012","Both sexes","123",""
"Saint Kitts and Nevis","2000","Male","214",""
"Saint Kitts and Nevis","2000","Female","134",""
"Saint Kitts and Nevis","2000","Both sexes","174",""
"Saint Kitts and Nevis","1990","Male","272",""
"Saint Kitts and Nevis","1990","Female","193",""
"Saint Kitts and Nevis","1990","Both sexes","233",""
"Saint Lucia","2012","Male","178",""
"Saint Lucia","2012","Female","85",""
"Saint Lucia","2012","Both sexes","132",""
"Saint Lucia","2000","Male","206",""
"Saint Lucia","2000","Female","117",""
"Saint Lucia","2000","Both sexes","161",""
"Saint Lucia","1990","Male","204",""
"Saint Lucia","1990","Female","147",""
"Saint Lucia","1990","Both sexes","176",""
"Saint Vincent and the Grenadines","2012","Male","169",""
"Saint Vincent and the Grenadines","2012","Female","111",""
"Saint Vincent and the Grenadines","2012","Both sexes","141",""
"Saint Vincent and the Grenadines","2000","Male","259",""
"Saint Vincent and the Grenadines","2000","Female","165",""
"Saint Vincent and the Grenadines","2000","Both sexes","215",""
"Saint Vincent and the Grenadines","1990","Male","217",""
"Saint Vincent and the Grenadines","1990","Female","140",""
"Saint Vincent and the Grenadines","1990","Both sexes","179",""
"Samoa","2012","Male","170",""
"Samoa","2012","Female","100",""
"Samoa","2012","Both sexes","137",""
"Samoa","2000","Male","225",""
"Samoa","2000","Female","136",""
"Samoa","2000","Both sexes","182",""
"Samoa","1990","Male","300",""
"Samoa","1990","Female","194",""
"Samoa","1990","Both sexes","248",""
"San Marino","2012","Male","55",""
"San Marino","2012","Female","47",""
"San Marino","2012","Both sexes","51",""
"San Marino","2000","Male","74",""
"San Marino","2000","Female","39",""
"San Marino","2000","Both sexes","57",""
"San Marino","1990","Male","80",""
"San Marino","1990","Female","40",""
"San Marino","1990","Both sexes","60",""
"Sao Tome and Principe","2012","Male","222",""
"Sao Tome and Principe","2012","Female","169",""
"Sao Tome and Principe","2012","Both sexes","194",""
"Sao Tome and Principe","2000","Male","249",""
"Sao Tome and Principe","2000","Female","197",""
"Sao Tome and Principe","2000","Both sexes","221",""
"Sao Tome and Principe","1990","Male","264",""
"Sao Tome and Principe","1990","Female","210",""
"Sao Tome and Principe","1990","Both sexes","237",""
"Saudi Arabia","2012","Male","90",""
"Saudi Arabia","2012","Female","68",""
"Saudi Arabia","2012","Both sexes","81",""
"Saudi Arabia","2000","Male","127",""
"Saudi Arabia","2000","Female","92",""
"Saudi Arabia","2000","Both sexes","112",""
"Saudi Arabia","1990","Male","178",""
"Saudi Arabia","1990","Female","131",""
"Saudi Arabia","1990","Both sexes","159",""
"Senegal","2012","Male","246",""
"Senegal","2012","Female","194",""
"Senegal","2012","Both sexes","218",""
"Senegal","2000","Male","282",""
"Senegal","2000","Female","224",""
"Senegal","2000","Both sexes","252",""
"Senegal","1990","Male","282",""
"Senegal","1990","Female","220",""
"Senegal","1990","Both sexes","251",""
"Serbia","2012","Male","173",""
"Serbia","2012","Female","85",""
"Serbia","2012","Both sexes","129",""
"Serbia","2000","Male","209",""
"Serbia","2000","Female","106",""
"Serbia","2000","Both sexes","159",""
"Serbia","1990","Male","184",""
"Serbia","1990","Female","94",""
"Serbia","1990","Both sexes","140",""
"Seychelles","2012","Male","217",""
"Seychelles","2012","Female","101",""
"Seychelles","2012","Both sexes","163",""
"Seychelles","2000","Male","248",""
"Seychelles","2000","Female","99",""
"Seychelles","2000","Both sexes","178",""
"Seychelles","1990","Male","318",""
"Seychelles","1990","Female","127",""
"Seychelles","1990","Both sexes","227",""
"Sierra Leone","2012","Male","444",""
"Sierra Leone","2012","Female","426",""
"Sierra Leone","2012","Both sexes","435",""
"Sierra Leone","2000","Male","551",""
"Sierra Leone","2000","Female","521",""
"Sierra Leone","2000","Both sexes","536",""
"Sierra Leone","1990","Male","525",""
"Sierra Leone","1990","Female","512",""
"Sierra Leone","1990","Both sexes","519",""
"Singapore","2012","Male","68",""
"Singapore","2012","Female","42",""
"Singapore","2012","Both sexes","55",""
"Singapore","2000","Male","97",""
"Singapore","2000","Female","56",""
"Singapore","2000","Both sexes","77",""
"Singapore","1990","Male","152",""
"Singapore","1990","Female","93",""
"Singapore","1990","Both sexes","123",""
"Slovakia","2012","Male","170",""
"Slovakia","2012","Female","67",""
"Slovakia","2012","Both sexes","119",""
"Slovakia","2000","Male","215",""
"Slovakia","2000","Female","79",""
"Slovakia","2000","Both sexes","147",""
"Slovakia","1990","Male","269",""
"Slovakia","1990","Female","104",""
"Slovakia","1990","Both sexes","187",""
"Slovenia","2012","Male","114",""
"Slovenia","2012","Female","50",""
"Slovenia","2012","Both sexes","83",""
"Slovenia","2000","Male","168",""
"Slovenia","2000","Female","72",""
"Slovenia","2000","Both sexes","122",""
"Slovenia","1990","Male","207",""
"Slovenia","1990","Female","82",""
"Slovenia","1990","Both sexes","145",""
"Solomon Islands","2012","Male","205",""
"Solomon Islands","2012","Female","165",""
"Solomon Islands","2012","Both sexes","186",""
"Solomon Islands","2000","Male","259",""
"Solomon Islands","2000","Female","219",""
"Solomon Islands","2000","Both sexes","239",""
"Solomon Islands","1990","Male","318",""
"Solomon Islands","1990","Female","290",""
"Solomon Islands","1990","Both sexes","305",""
"Somalia","2012","Male","382",""
"Somalia","2012","Female","299",""
"Somalia","2012","Both sexes","341",""
"Somalia","2000","Male","391",""
"Somalia","2000","Female","330",""
"Somalia","2000","Both sexes","361",""
"Somalia","1990","Male","473",""
"Somalia","1990","Female","364",""
"Somalia","1990","Both sexes","420",""
"South Africa","2012","Male","463",""
"South Africa","2012","Female","350",""
"South Africa","2012","Both sexes","403",""
"South Africa","2000","Male","433",""
"South Africa","2000","Female","313",""
"South Africa","2000","Both sexes","371",""
"South Africa","1990","Male","344",""
"South Africa","1990","Female","219",""
"South Africa","1990","Both sexes","282",""
"South Sudan","2012","Male","373",""
"South Sudan","2012","Female","349",""
"South Sudan","2012","Both sexes","361",""
"South Sudan","2000","Male","408",""
"South Sudan","2000","Female","368",""
"South Sudan","2000","Both sexes","388",""
"South Sudan","1990","Male","448",""
"South Sudan","1990","Female","391",""
"South Sudan","1990","Both sexes","420",""
"Spain","2012","Male","86",""
"Spain","2012","Female","40",""
"Spain","2012","Both sexes","63",""
"Spain","2000","Male","122",""
"Spain","2000","Female","49",""
"Spain","2000","Both sexes","86",""
"Spain","1990","Male","146",""
"Spain","1990","Female","60",""
"Spain","1990","Both sexes","103",""
"Sri Lanka","2012","Male","186",""
"Sri Lanka","2012","Female","75",""
"Sri Lanka","2012","Both sexes","130",""
"Sri Lanka","2000","Male","301",""
"Sri Lanka","2000","Female","111",""
"Sri Lanka","2000","Both sexes","210",""
"Sri Lanka","1990","Male","294",""
"Sri Lanka","1990","Female","125",""
"Sri Lanka","1990","Both sexes","214",""
"Sudan","2012","Male","276",""
"Sudan","2012","Female","214",""
"Sudan","2012","Both sexes","245",""
"Sudan","2000","Male","318",""
"Sudan","2000","Female","249",""
"Sudan","2000","Both sexes","284",""
"Sudan","1990","Male","342",""
"Sudan","1990","Female","276",""
"Sudan","1990","Both sexes","310",""
"Suriname","2012","Male","160",""
"Suriname","2012","Female","94",""
"Suriname","2012","Both sexes","127",""
"Suriname","2000","Male","202",""
"Suriname","2000","Female","143",""
"Suriname","2000","Both sexes","173",""
"Suriname","1990","Male","188",""
"Suriname","1990","Female","123",""
"Suriname","1990","Both sexes","156",""
"Swaziland","2012","Male","494",""
"Swaziland","2012","Female","411",""
"Swaziland","2012","Both sexes","451",""
"Swaziland","2000","Male","540",""
"Swaziland","2000","Female","515",""
"Swaziland","2000","Both sexes","526",""
"Swaziland","1990","Male","253",""
"Swaziland","1990","Female","288",""
"Swaziland","1990","Both sexes","274",""
"Sweden","2012","Male","68",""
"Sweden","2012","Female","44",""
"Sweden","2012","Both sexes","56",""
"Sweden","2000","Male","87",""
"Sweden","2000","Female","56",""
"Sweden","2000","Both sexes","72",""
"Sweden","1990","Male","114",""
"Sweden","1990","Female","66",""
"Sweden","1990","Both sexes","90",""
"Switzerland","2012","Male","67",""
"Switzerland","2012","Female","40",""
"Switzerland","2012","Both sexes","54",""
"Switzerland","2000","Male","99",""
"Switzerland","2000","Female","54",""
"Switzerland","2000","Both sexes","77",""
"Switzerland","1990","Male","126",""
"Switzerland","1990","Female","62",""
"Switzerland","1990","Both sexes","95",""
"Syrian Arab Republic","2012","Male","332",""
"Syrian Arab Republic","2012","Female","109",""
"Syrian Arab Republic","2012","Both sexes","230",""
"Syrian Arab Republic","2000","Male","132",""
"Syrian Arab Republic","2000","Female","102",""
"Syrian Arab Republic","2000","Both sexes","117",""
"Syrian Arab Republic","1990","Male","158",""
"Syrian Arab Republic","1990","Female","140",""
"Syrian Arab Republic","1990","Both sexes","149",""
"Tajikistan","2012","Male","178",""
"Tajikistan","2012","Female","154",""
"Tajikistan","2012","Both sexes","166",""
"Tajikistan","2000","Male","208",""
"Tajikistan","2000","Female","178",""
"Tajikistan","2000","Both sexes","193",""
"Tajikistan","1990","Male","217",""
"Tajikistan","1990","Female","180",""
"Tajikistan","1990","Both sexes","199",""
"Thailand","2012","Male","182",""
"Thailand","2012","Female","90",""
"Thailand","2012","Both sexes","136",""
